SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 517
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 517
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 518
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 518
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 536
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 536
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 536
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 536
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 558
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 558
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 558
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 558
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 583
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 583
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 583
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 583
SIZE: 3500, SPARES: 2, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 282
SIZE: 3500, SPARES: 2, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 282
SIZE: 3500, SPARES: 2, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 282
SIZE: 3500, SPARES: 2, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 282
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 321
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 321
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 321
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 321
SIZE: 3500, SPARES: 0, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 249
SIZE: 3500, SPARES: 0, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 249
SIZE: 3500, SPARES: 0, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 250
SIZE: 3500, SPARES: 0, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 250
SIZE: 3500, SPARES: 6, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 393
SIZE: 3500, SPARES: 6, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 393
SIZE: 3500, SPARES: 6, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 394
SIZE: 3500, SPARES: 6, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 394
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 492
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 493
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 493
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 493
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 327
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 327
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 329
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 329
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 333
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 334
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 334
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 334
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 336
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 336
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 336
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 336
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 340
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 340
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 340
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 341
