SIZE: 3500, SPARES: 2, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 287
SIZE: 3500, SPARES: 2, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 287
SIZE: 3500, SPARES: 2, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 287
SIZE: 3500, SPARES: 2, PROCS: 16, MTBF: 60, FAILS: 1, DURATION: 287
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 30, FAILS: 1, DURATION: 334
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 30, FAILS: 1, DURATION: 334
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 30, FAILS: 1, DURATION: 334
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 30, FAILS: 1, DURATION: 334
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 333
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 333
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 333
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 333
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 343
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 343
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 344
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 4, DURATION: 344
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 343
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 343
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 344
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 3, DURATION: 344
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 508
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 508
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 508
SIZE: 3500, SPARES: 8, PROCS: 16, MTBF: 60, FAILS: 2, DURATION: 508
