SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 146, CP_INT: 30
SIZE: 4500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 298, CP_INT: 30
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 159, CP_INT: 10
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 147, CP_INT: 20
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 147, CP_INT: 30
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 141, CP_INT: 40
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 149, CP_INT: 50
SIZE: 3500, SPARES: 4, PROCS: 16, MTBF: 60, FAILS: 0, DURATION: 145, CP_INT: 60
SIZE: 3500, SPARES: 4, PROCS: 8, MTBF: 60, FAILS: 0, DURATION: 294, CP_INT: 10
SIZE: 3500, SPARES: 4, PROCS: 8, MTBF: 60, FAILS: 0, DURATION: 267, CP_INT: 20
SIZE: 3500, SPARES: 4, PROCS: 8, MTBF: 60, FAILS: 0, DURATION: 253, CP_INT: 30
SIZE: 3500, SPARES: 4, PROCS: 8, MTBF: 60, FAILS: 0, DURATION: 254, CP_INT: 40
SIZE: 3500, SPARES: 4, PROCS: 8, MTBF: 60, FAILS: 0, DURATION: 251, CP_INT: 50
SIZE: 3500, SPARES: 4, PROCS: 8, MTBF: 60, FAILS: 0, DURATION: 253, CP_INT: 60
